iter	Logloss
0	0.6706910574
1	0.6528006274
2	0.6381989564
3	0.6264983832
4	0.6170701894
5	0.6095318981
6	0.6034838802
7	0.5986817903
8	0.5946790526
9	0.5915061463
10	0.5889126321
11	0.5866330302
12	0.5849390519
13	0.5835294555
14	0.5822530008
15	0.5811876386
16	0.5804299996
17	0.5797265539
18	0.579222066
19	0.5787654455
20	0.5783332806
21	0.5780242599
22	0.5777929541
23	0.5775964649
24	0.5774567933
25	0.5772990238
26	0.5771288459
27	0.5769926507
28	0.5768937481
29	0.5767506146
30	0.5766145666
31	0.5765210601
32	0.5764610116
33	0.5764132244
34	0.5763370832
35	0.5762665034
36	0.5761950054
37	0.5761284646
38	0.5760804109
39	0.5760438592
40	0.5760048601
41	0.575947258
42	0.575917907
43	0.5758881233
44	0.5758539952
45	0.5758282846
46	0.5758033563
47	0.5757919365
48	0.5757715855
49	0.5757382322
50	0.5757240486
51	0.5757018078
52	0.5756622596
53	0.5756598568
54	0.5756473348
55	0.5756153461
56	0.5756031962
57	0.5755678083
58	0.5755508102
59	0.575526883
60	0.5755095331
61	0.5754816992
62	0.5754556913
63	0.5754390667
64	0.5754030112
65	0.5753797708
66	0.5753421389
67	0.5753111611
68	0.5752974035
69	0.5752785989
70	0.5752515452
71	0.5752355177
72	0.5752301802
73	0.575206325
74	0.5751870503
75	0.5751683432
76	0.5751500323
77	0.5751321956
78	0.5751217962
79	0.5751056919
80	0.5750880057
81	0.5750614617
82	0.5750373088
83	0.5750242848
84	0.574998531
85	0.5749799356
86	0.574964525
87	0.5749508515
88	0.5749277679
89	0.5749077153
90	0.5748964026
91	0.5748789439
92	0.5748611658
93	0.5748504168
94	0.5748430471
95	0.5748270891
96	0.5748163344
97	0.5748087103
98	0.5747913715
99	0.5747884695
100	0.5747759018
101	0.5747653877
102	0.5747522455
103	0.5747364576
104	0.574714735
105	0.574697573
106	0.5746862227
107	0.5746804256
108	0.574666823
109	0.5746525632
110	0.5746369357
111	0.5746254423
112	0.5746141856
113	0.5746048718
114	0.5745909838
115	0.5745839509
116	0.5745648625
117	0.5745521004
118	0.5745417888
119	0.5745237311
120	0.5745072636
121	0.5744865569
122	0.5744787099
123	0.5744663805
124	0.5744417756
125	0.5744218231
126	0.5744063392
127	0.5743881516
128	0.5743698789
129	0.5743405972
130	0.5743193626
131	0.5743007723
132	0.5742781986
133	0.574249962
134	0.5742316365
135	0.5742004385
136	0.5741811346
137	0.5741639897
138	0.5741372757
139	0.5741103647
140	0.5740933939
141	0.5740662076
142	0.5740389413
143	0.5740177877
144	0.574001428
145	0.5739829979
146	0.5739554977
147	0.5739382577
148	0.5739139874
149	0.5738930684
150	0.5738671791
151	0.5738390926
152	0.5738140592
153	0.573799995
154	0.5737828852
155	0.5737645508
156	0.5737387295
157	0.5737231329
158	0.5736997669
159	0.5736767367
160	0.5736600705
161	0.5736433316
162	0.573615767
163	0.5735947848
164	0.5735789035
165	0.5735603696
166	0.573536606
167	0.5734969172
168	0.5734747413
169	0.5734547752
170	0.5734323478
171	0.5734120585
172	0.5733916175
173	0.5733694288
174	0.5733340349
175	0.5733148105
176	0.5732930264
177	0.573263893
178	0.5732410807
179	0.5732224218
180	0.5731905114
181	0.5731664356
182	0.5731413064
183	0.5731122882
184	0.5730914944
185	0.5730819409
186	0.5730528408
187	0.5730223838
188	0.5730009862
189	0.5729819924
190	0.5729673959
191	0.5729419892
192	0.5729255999
193	0.5729056848
194	0.5728779053
195	0.5728646382
196	0.5728397433
197	0.5728266579
198	0.5728036684
199	0.5727933374
200	0.5727774559
201	0.5727632139
202	0.5727410272
203	0.5727165017
204	0.5726989957
205	0.5726767326
206	0.5726668656
207	0.5726555286
208	0.5726306323
209	0.5726063472
210	0.5725935248
211	0.5725738225
212	0.5725557506
213	0.5725288611
214	0.5725101531
215	0.5724943198
216	0.5724736381
217	0.5724529451
218	0.572435061
219	0.5724131645
220	0.5723956955
221	0.5723799084
222	0.5723627835
223	0.5723508417
224	0.5723363722
225	0.5723180154
226	0.5723022822
227	0.572283032
228	0.5722662374
229	0.5722491624
230	0.5722281658
231	0.5722123804
232	0.5721932939
233	0.5721735321
234	0.5721554432
235	0.5721480446
236	0.5721196991
237	0.5720934592
238	0.5720747517
239	0.5720639784
240	0.5720469121
241	0.5720304639
242	0.5720111864
243	0.5719862654
244	0.5719745591
245	0.5719517172
246	0.5719391584
247	0.5719270471
248	0.5719062257
249	0.5718926744
250	0.5718708951
251	0.5718551957
252	0.5718392816
253	0.5718292846
254	0.5718184417
255	0.5718048745
256	0.5717899993
257	0.5717574243
258	0.5717395798
259	0.5717232077
260	0.571696633
261	0.5716704545
262	0.5716520221
263	0.5716353808
264	0.5716221124
265	0.5716054139
266	0.5715931827
267	0.571582915
268	0.5715582808
269	0.5715417128
270	0.5715265414
271	0.5715046993
272	0.5714885567
273	0.5714673884
274	0.5714515091
275	0.5714406722
276	0.5714222224
277	0.571403919
278	0.5713908812
279	0.5713764435
280	0.5713559126
281	0.5713406553
282	0.5713202373
283	0.5713038952
284	0.5712881415
285	0.5712703537
286	0.5712537739
287	0.5712384979
288	0.5712198831
289	0.5711964337
290	0.571180557
291	0.5711637258
292	0.5711402085
293	0.5711256156
294	0.5710982497
295	0.5710810042
296	0.571059655
297	0.5710502716
298	0.5710274232
299	0.5710191375
300	0.5709971016
301	0.5709803076
302	0.5709596354
303	0.5709307691
304	0.5709070225
305	0.5708800665
306	0.5708756905
307	0.5708622508
308	0.5708441468
309	0.5708276081
310	0.5708168115
311	0.5708011279
312	0.5707757782
313	0.5707689996
314	0.5707436329
315	0.5707271586
316	0.5707110633
317	0.5706971253
318	0.5706787291
319	0.5706632178
320	0.5706395233
321	0.5706217808
322	0.5706015279
323	0.5705781881
324	0.5705611914
325	0.5705464537
326	0.5705259168
327	0.5705068822
328	0.5704867622
329	0.5704731816
330	0.5704603295
331	0.5704458594
332	0.5704363642
333	0.5704195444
334	0.5703927863
335	0.5703687349
336	0.5703599036
337	0.5703419746
338	0.5703284662
339	0.5703178785
340	0.5703062234
341	0.5702945966
342	0.5702843082
343	0.570273502
344	0.5702632449
345	0.5702435936
346	0.5702313305
347	0.5702128776
348	0.5702015972
349	0.5701848108
350	0.5701684658
351	0.5701466476
352	0.5701136387
353	0.570085455
354	0.5700729618
355	0.5700584991
356	0.5700412277
357	0.5700221969
358	0.5700071121
359	0.5699855124
360	0.5699695627
361	0.5699541979
362	0.5699414242
363	0.5699267886
364	0.5699081661
365	0.5698903973
366	0.5698723809
367	0.5698506623
368	0.5698288115
369	0.5698090172
370	0.5697946987
371	0.5697738115
372	0.5697544918
373	0.5697407215
374	0.569729244
375	0.5697213495
376	0.5696995874
377	0.5696789867
378	0.5696594449
379	0.5696387076
380	0.5696114714
381	0.5696036298
382	0.5695900532
383	0.5695776232
384	0.5695576258
385	0.5695352934
386	0.5695127586
387	0.5694902786
388	0.5694761961
389	0.5694555707
390	0.5694404175
391	0.5694250921
392	0.5694088122
393	0.5693906854
394	0.5693662523
395	0.5693515684
396	0.5693312245
397	0.569315496
398	0.5692995376
399	0.569279761
400	0.5692701787
401	0.5692538543
402	0.5692398105
403	0.569226671
404	0.5692149748
405	0.5691965979
406	0.569182338
407	0.5691642851
408	0.5691487367
409	0.5691384413
410	0.5691267748
411	0.5691107958
412	0.569093689
413	0.569077956
414	0.5690668538
415	0.5690551504
416	0.5690353086
417	0.5690193735
418	0.5690101651
419	0.5689892025
420	0.5689690976
421	0.5689493336
422	0.568925646
423	0.5689095396
424	0.5688822326
425	0.5688659773
426	0.5688545158
427	0.5688363905
428	0.5688170069
429	0.5687912905
430	0.5687730266
431	0.5687603989
432	0.5687475147
433	0.5687287297
434	0.5687186015
435	0.5687036231
436	0.5686892441
437	0.5686717874
438	0.5686505281
439	0.5686351692
440	0.5686214012
441	0.5685977595
442	0.5685811683
443	0.568566359
444	0.5685527158
445	0.5685347817
446	0.5685229839
447	0.5685079878
448	0.5684896468
449	0.5684732361
450	0.5684457276
451	0.568436694
452	0.5684139075
453	0.5683977772
454	0.5683826475
455	0.5683670751
456	0.5683499724
457	0.5683390255
458	0.5683304597
459	0.5683154724
460	0.5683028417
461	0.5682842812
462	0.5682680427
463	0.5682594001
464	0.5682491896
465	0.568232255
466	0.5682123019
467	0.5681920111
468	0.5681795588
469	0.5681629617
470	0.5681548586
471	0.5681352591
472	0.568119632
473	0.5681013004
474	0.568080949
475	0.5680637206
476	0.5680424805
477	0.5680344436
478	0.5680212101
479	0.5680060382
480	0.5679865663
481	0.5679617251
482	0.5679404733
483	0.5679206362
484	0.5679068997
485	0.5678845662
486	0.5678700612
487	0.5678609413
488	0.5678466874
489	0.5678252142
490	0.5678112167
491	0.5677892012
492	0.567780477
493	0.5677697501
494	0.5677577622
495	0.5677518949
496	0.567740723
497	0.5677321945
498	0.5677209081
499	0.5677053799
500	0.567693528
501	0.567681806
502	0.5676673422
503	0.5676453305
504	0.5676295311
505	0.5676165757
506	0.5675994995
507	0.5675717751
508	0.5675563444
509	0.5675426589
510	0.5675344491
511	0.5675176497
512	0.5674998236
513	0.5674803642
514	0.5674596388
515	0.5674395514
516	0.5674281332
517	0.5674231392
518	0.5673995927
519	0.5673843012
520	0.5673641245
521	0.567342414
522	0.567321931
523	0.5673026332
524	0.5672897044
525	0.5672700805
526	0.5672630409
527	0.5672392904
528	0.567231897
529	0.5672128244
530	0.567192863
531	0.5671759708
532	0.5671554072
533	0.5671387909
534	0.5671045663
535	0.567088969
536	0.5670696194
537	0.5670466309
538	0.5670279695
539	0.5670168963
540	0.5669963248
541	0.5669783922
542	0.5669535634
543	0.5669427113
544	0.5669291497
545	0.5669086647
546	0.5668892827
547	0.5668784796
548	0.5668598879
549	0.5668410324
550	0.5668268091
551	0.5668045721
552	0.566789495
553	0.5667728711
554	0.5667564322
555	0.5667264192
556	0.56669683
557	0.5666811006
558	0.5666620151
559	0.5666558768
560	0.5666409571
561	0.5666287472
562	0.5666090914
563	0.5665930786
564	0.566578648
565	0.5665616619
566	0.5665539701
567	0.5665391676
568	0.5665281522
569	0.5665131487
570	0.5664930186
571	0.5664857599
572	0.5664723206
573	0.5664639722
574	0.5664559671
575	0.5664436729
576	0.5664255109
577	0.5664168259
578	0.5664032933
579	0.5663923502
580	0.5663830065
581	0.5663714794
582	0.5663513464
583	0.5663392837
584	0.5663323806
585	0.5663206994
586	0.5662993307
587	0.5662865339
588	0.5662749945
589	0.5662657276
590	0.5662570047
591	0.5662383781
592	0.5662235125
593	0.5662121586
594	0.5661960279
595	0.5661832484
596	0.5661676302
597	0.5661544463
598	0.5661387015
599	0.5661255593
600	0.56611876
601	0.5661050707
602	0.5660911074
603	0.566071965
604	0.5660499818
605	0.5660439763
606	0.5660319025
607	0.5660188203
608	0.56600167
609	0.5659797101
610	0.5659617789
611	0.5659390955
612	0.5659225403
613	0.5659149292
614	0.5659082513
615	0.5658953034
616	0.5658777191
617	0.5658511768
618	0.5658447391
619	0.5658306038
620	0.5658168641
621	0.5658010641
622	0.5657855923
623	0.5657684687
624	0.565748087
625	0.5657344602
626	0.5657216845
627	0.565700871
628	0.5656847782
629	0.5656715821
630	0.5656590528
631	0.5656488447
632	0.5656354825
633	0.5656232488
634	0.5656104219
635	0.5655992473
636	0.5655809162
637	0.5655653215
638	0.5655419523
639	0.5655374489
640	0.565525311
641	0.5655078532
642	0.5654966374
643	0.565489318
644	0.5654727315
645	0.5654617712
646	0.5654462704
647	0.56542788
648	0.5654117931
649	0.5654005087
650	0.5653825324
651	0.5653574749
652	0.5653412153
653	0.5653233936
654	0.5653125364
655	0.5652985737
656	0.5652743952
657	0.5652594591
658	0.5652433291
659	0.5652353245
660	0.5652246657
661	0.5652148824
662	0.5652065092
663	0.5651910122
664	0.565180965
665	0.5651706108
666	0.5651610889
667	0.5651453309
668	0.5651253311
669	0.5651152434
670	0.5651025406
671	0.5650833929
672	0.5650721062
673	0.5650405403
674	0.5650286399
675	0.5650154283
676	0.5649918584
677	0.5649786077
678	0.5649658614
679	0.564950861
680	0.5649347004
681	0.5649276136
682	0.5649132099
683	0.5648899715
684	0.5648712145
685	0.5648530497
686	0.5648369764
687	0.5648260757
688	0.5648067439
689	0.5647860098
690	0.5647696419
691	0.5647547497
692	0.5647433191
693	0.5647322202
694	0.5647132122
695	0.5647018985
696	0.5646910791
697	0.5646660151
698	0.5646448133
699	0.5646250834
700	0.5646173919
701	0.5646036242
702	0.5645840358
703	0.5645703563
704	0.5645623515
705	0.564556128
706	0.5645412762
707	0.5645242662
708	0.5645057997
709	0.5644887755
710	0.5644756181
711	0.564457749
712	0.5644403385
713	0.5644271079
714	0.5644102766
715	0.5643888184
716	0.5643825016
717	0.5643669463
718	0.564360982
719	0.5643444656
720	0.5643337859
721	0.5643222367
722	0.5643058188
723	0.5642821723
724	0.5642665567
725	0.5642400975
726	0.5642310634
727	0.5642224043
728	0.5642170343
729	0.5641938302
