iter	Passed	Remaining
0	68	68265
1	77	38742
2	85	28529
3	94	23439
4	103	20512
5	112	18654
6	121	17255
7	129	16116
8	139	15327
9	148	14722
10	157	14140
11	166	13708
12	174	13251
13	182	12851
14	191	12581
15	199	12280
16	207	12005
17	215	11773
18	223	11553
19	231	11355
20	239	11172
21	247	11013
22	255	10845
23	265	10780
24	272	10616
25	280	10496
26	292	10552
27	302	10492
28	310	10406
29	318	10295
30	326	10208
31	334	10132
32	344	10086
33	351	10000
34	360	9926
35	368	9875
36	376	9796
37	385	9749
38	394	9713
39	402	9654
40	410	9590
41	418	9541
42	426	9488
43	434	9447
44	443	9419
45	451	9372
46	460	9337
47	467	9280
48	476	9238
49	483	9182
50	492	9172
51	500	9123
52	508	9085
53	517	9061
54	526	9049
55	535	9033
56	545	9019
57	553	8993
58	561	8960
59	571	8949
60	580	8936
61	589	8925
62	599	8909
63	609	8910
64	618	8890
65	628	8892
66	638	8896
67	647	8869
68	656	8864
69	664	8831
70	676	8855
71	687	8860
72	696	8850
73	709	8878
74	724	8931
75	736	8955
76	747	8956
77	759	8979
78	769	8971
79	778	8953
80	789	8956
81	799	8947
82	809	8938
83	819	8933
84	827	8907
85	837	8903
86	846	8880
87	856	8874
88	863	8842
89	872	8823
90	881	8809
91	891	8794
92	901	8790
93	909	8765
94	919	8757
95	928	8741
96	936	8713
97	944	8695
98	954	8683
99	962	8659
100	969	8632
101	977	8605
102	986	8590
103	995	8574
104	1003	8553
105	1011	8534
106	1020	8520
107	1029	8504
108	1039	8495
109	1047	8475
110	1057	8470
111	1066	8454
112	1074	8430
113	1083	8423
114	1092	8403
115	1101	8392
116	1109	8374
117	1120	8371
118	1128	8356
119	1137	8345
120	1147	8337
121	1159	8346
122	1170	8345
123	1182	8353
124	1193	8355
125	1203	8347
126	1211	8327
127	1220	8313
128	1228	8297
129	1238	8288
130	1247	8277
131	1257	8266
132	1266	8254
133	1275	8241
134	1284	8228
135	1294	8221
136	1302	8207
137	1312	8200
138	1322	8189
139	1331	8176
140	1340	8165
141	1348	8150
142	1358	8139
143	1366	8125
144	1375	8111
145	1384	8097
146	1394	8089
147	1402	8076
148	1412	8066
149	1419	8044
150	1428	8033
151	1437	8021
152	1446	8009
153	1455	7997
154	1464	7985
155	1472	7964
156	1480	7951
157	1489	7939
158	1499	7931
159	1507	7916
160	1517	7905
161	1525	7892
162	1534	7881
163	1543	7868
164	1552	7856
165	1561	7842
166	1569	7829
167	1578	7817
168	1587	7807
169	1596	7796
170	1605	7783
171	1614	7772
172	1623	7760
173	1632	7750
174	1641	7738
175	1650	7725
176	1659	7715
177	1668	7704
178	1677	7694
179	1686	7682
180	1696	7675
181	1705	7663
182	1714	7654
183	1723	7644
184	1732	7631
185	1741	7621
186	1750	7610
187	1760	7605
188	1770	7595
189	1780	7591
190	1789	7580
191	1799	7574
192	1809	7565
193	1818	7556
194	1829	7551
195	1838	7539
196	1848	7534
197	1857	7523
198	1868	7519
199	1877	7511
200	1886	7499
201	1896	7493
202	1905	7482
203	1915	7474
204	1924	7464
205	1934	7455
206	1944	7450
207	1953	7437
208	1963	7430
209	1972	7420
210	1982	7413
211	1991	7400
212	1999	7387
213	2008	7376
214	2017	7367
215	2026	7356
216	2035	7345
217	2044	7335
218	2054	7325
219	2063	7314
220	2072	7303
221	2081	7292
222	2090	7283
223	2099	7273
224	2109	7266
225	2119	7257
226	2128	7247
227	2137	7238
228	2146	7227
229	2155	7216
230	2164	7206
231	2174	7197
232	2183	7188
233	2193	7179
234	2202	7169
235	2211	7159
236	2220	7149
237	2229	7138
238	2238	7127
239	2247	7115
240	2256	7106
241	2264	7094
242	2274	7084
243	2282	7072
244	2292	7063
245	2301	7053
246	2309	7040
247	2318	7030
248	2327	7020
249	2336	7009
250	2345	6998
251	2354	6988
252	2363	6978
253	2371	6965
254	2380	6954
255	2389	6943
256	2398	6934
257	2407	6925
258	2416	6914
259	2425	6904
260	2434	6893
261	2442	6879
262	2451	6869
263	2460	6859
264	2469	6848
265	2477	6837
266	2486	6825
267	2495	6814
268	2504	6804
269	2513	6795
270	2522	6785
271	2530	6771
272	2539	6762
273	2548	6751
274	2557	6741
275	2565	6729
276	2574	6719
277	2583	6709
278	2592	6698
279	2600	6687
280	2609	6678
281	2617	6664
282	2626	6655
283	2635	6644
284	2644	6635
285	2653	6625
286	2662	6614
287	2671	6605
288	2680	6595
289	2690	6585
290	2699	6577
291	2709	6568
292	2717	6557
293	2727	6548
294	2736	6540
295	2745	6528
296	2754	6519
297	2762	6507
298	2772	6499
299	2780	6488
300	2790	6479
301	2798	6468
302	2808	6459
303	2817	6449
304	2826	6439
305	2835	6430
306	2844	6419
307	2852	6409
308	2861	6399
309	2870	6388
310	2878	6377
311	2887	6368
312	2897	6359
313	2906	6350
314	2915	6340
315	2924	6330
316	2934	6321
317	2943	6311
318	2952	6302
319	2961	6292
320	2970	6282
321	2978	6271
322	2987	6261
323	2996	6252
324	3007	6245
325	3015	6235
326	3025	6226
327	3034	6217
328	3043	6207
329	3052	6198
330	3061	6187
331	3070	6177
332	3079	6167
333	3088	6157
334	3097	6148
335	3106	6138
336	3114	6127
337	3123	6117
338	3132	6108
339	3141	6098
340	3150	6088
341	3159	6078
342	3168	6069
343	3177	6059
344	3186	6048
345	3195	6039
346	3204	6029
347	3213	6020
348	3222	6010
349	3230	5999
350	3239	5989
351	3248	5979
352	3257	5970
353	3266	5961
354	3275	5951
355	3284	5941
356	3293	5931
357	3302	5922
358	3311	5913
359	3320	5903
360	3329	5893
361	3338	5884
362	3347	5874
363	3354	5861
364	3363	5851
365	3372	5841
366	3381	5831
367	3389	5821
368	3398	5812
369	3408	5802
370	3417	5794
371	3426	5784
372	3435	5775
373	3444	5765
374	3453	5755
375	3462	5746
376	3472	5738
377	3481	5728
378	3490	5719
379	3501	5712
380	3510	5702
381	3519	5694
382	3529	5685
383	3539	5677
384	3550	5671
385	3559	5662
386	3570	5655
387	3579	5646
388	3589	5638
389	3599	5630
390	3609	5621
391	3619	5613
392	3629	5605
393	3640	5598
394	3651	5592
395	3660	5583
396	3670	5575
397	3681	5568
398	3692	5562
399	3703	5555
400	3713	5547
401	3723	5538
402	3734	5532
403	3743	5523
404	3754	5515
405	3764	5507
406	3772	5496
407	3784	5490
408	3793	5481
409	3804	5474
410	3817	5470
411	3826	5461
412	3836	5453
413	3846	5444
414	3855	5434
415	3864	5425
416	3873	5416
417	3883	5406
418	3891	5396
419	3902	5389
420	3912	5380
421	3921	5371
422	3931	5363
423	3940	5353
424	3950	5345
425	3960	5336
426	3969	5326
427	3978	5317
428	3987	5307
429	3996	5298
430	4005	5287
431	4015	5280
432	4025	5271
433	4034	5261
434	4043	5251
435	4052	5242
436	4062	5233
437	4071	5223
438	4080	5214
439	4088	5203
440	4097	5194
441	4106	5183
442	4115	5174
443	4124	5165
444	4133	5155
445	4142	5145
446	4151	5136
447	4160	5126
448	4169	5116
449	4179	5108
450	4188	5099
451	4199	5090
